职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
游戏操作员,15-20元/时,"['经验不限', '学历不限']",['钟点工'],经验不限,学历不限,吉林,吉林市昌邑区天同...,0-20人,[]
三角洲跑刀绝密护航/不缺单子/日结,35-95元/时,"['经验不限', '学历不限']",['游戏兼职'],经验不限,学历不限,成都,北京路京网络科技,0-20人,[]
兼职游戏测试,50-100元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,宁波,宁波杰纳尔绑扎科技,100-499人,"['定期体检', '有无线网', '工龄奖', '五险一金', '员工旅游', '带薪年假', '餐补', '节日福利', '生日福利', '团建聚餐']"
游戏搬砖,20-25元/时,"['经验不限', '中专/中技']",['游戏'],经验不限,中专/中技,中山,广州穆朵商贸有限公司,0-20人,[]
居家代肝游戏测试专员,35-50元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,郑州,郑州绵设网络科技,20-99人,[]
游戏兼职可居家办公单子多任务丰富大量要人,190-240元/天,"['经验不限', '学历不限']","['一单一结算', '日结', '游戏', '三角洲']",经验不限,学历不限,兰州,新乡市唯铭网络,20-99人,"['交通补助', '生日福利', '节日福利', '团建聚餐', '全勤奖', '有无线网', '宿舍有空调']"
小游戏测试专员,50-100元/天,"['经验不限', '学历不限']","['抖音', '小游戏', '测试员']",经验不限,学历不限,合肥,安徽蝌蚪蓝鲸广告发展,20-99人,"['全勤奖', '底薪加提成', '节日福利', '团建聚餐', '带薪年假', '保底工资', '生日福利', '绩效奖金']"
游戏广告测试员,20-25元/时,"['经验不限', '高中']",[],经验不限,高中,无锡,厦门思明区妮录近...,0-20人,[]
游戏测试专员,80-260元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,铁岭,优家装饰装修设计施工,0-20人,[]
中级测试工程师-网游,3000-3500元/月,"['经验不限', '学历不限']",[],经验不限,学历不限,上海,上海苍行舸网络科技,0-20人,[]
游戏账号估号师,200-600元/天,"['1-3年', '本科']","['手游测试经验', '丰富的游戏经验', '手游', '端游']",1-3年,本科,钦州,游易宝,20-99人,"['夜班补助', '工龄奖', '全勤奖', '定期体检', '加班补助', '企业年金', '法定节假日三薪', '股票期权', '补充医疗保险', '保底工资', '节假日加班费', '绩效奖金', '底薪加提成', '意外险', '五险一金']"
小游戏测试,10-30元/时,"['1-3年', '本科']",[],1-3年,本科,安阳,安阳添泓网络科技,20-99人,[]
游戏内测,5-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,郑州,深圳市旅帮手科技,0-20人,[]
游戏测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,兰州,青冈县春百智科技...,0-20人,[]
网络游戏体验员,20-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,东莞,南宁恒远房地产投资,0-20人,[]
游戏技术员,100-200元/时,"['1年以内', '中专/中技']","['下肢残疾', '肢体残疾', '手游测试经验', '主机游戏测试经验']",1年以内,中专/中技,武汉,武汉优洋互联网,0-20人,"['年终奖', '夜班补助', '加班补助', '定期体检', '团建聚餐', '生日福利', '节日福利']"
steam游戏测试,20-25元/时,"['1-3年', '高中']",[],1-3年,高中,马鞍山,南京五斗米信息咨询,0-20人,"['节日福利', '五险一金', '有无线网', '意外险']"
游戏测试,20-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,亳州,亳州市谯城区尚娴...,0-20人,[]
小游戏测试员,20-30元/时,"['经验不限', '学历不限']",['时间自由'],经验不限,学历不限,武汉,顺风网络科技,0-20人,[]
游戏打手（不缺单子王者三角洲）,50-90元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,蚌埠,广州贾逡网络科技,20-99人,[]
游戏测试专员,80-100元/天,"['经验不限', '中专/中技']",[],经验不限,中专/中技,秦皇岛,青龙满族自治县刘...,0-20人,['绩效奖金']
兼职游戏升级,40-50元/时,"['1-3年', '学历不限']",[],1-3年,学历不限,海口,海口美兰彩克语百...,0-20人,[]
游戏专员,20-50元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,重庆,株洲市荷塘区绝神...,0-20人,[]
游戏测试专员,5-25元/时,"['经验不限', '学历不限']","['手游测试经验', '软件测试经验', '丰富的游戏经验']",经验不限,学历不限,昆明,昆明辉志时运网络科技,0-20人,[]
小游戏测试,10-25元/时,"['经验不限', '学历不限']",['游戏广告'],经验不限,学历不限,合肥,合肥市瑶海区泳泉...,0-20人,"['年终奖', '零食下午茶', '住房补贴', '全勤奖', '五险一金']"
游戏测试,15-25元/时,"['经验不限', '学历不限']",['手游测试经验'],经验不限,学历不限,阜阳,温州睿辉网络科技,0-20人,[]
游戏测试,20-25元/时,"['经验不限', '学历不限']","['视频发布及剪辑', '丰富的游戏经验']",经验不限,学历不限,武汉,武汉市黄陂区凯卢...,0-20人,[]
游戏测试专员,100-120元/天,"['经验不限', '中专/中技']",['软件测试经验'],经验不限,中专/中技,保定,元太,0-20人,[]
游戏实习生,150-210元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,桂林,桂林鸿志商务服务,0-20人,"['零食下午茶', '有无线网', '包住', '交通补助', '团建聚餐', '包吃', '餐补', '宿舍有空调', '底薪加提成', '保底工资']"
游戏测试,15000-30000元/月,"['5-10年', '本科']",[],5-10年,本科,上海,育界,20-99人,"['零食下午茶', '绩效奖金', '员工旅游', '团建聚餐', '底薪加提成', '保底工资', '生日福利', '五险一金']"
游戏工作室（全国加盟）联合创始人游戏测试,10000-50000元/月,"['经验不限', '学历不限']",['游戏'],经验不限,学历不限,郑州,超金网络,20-99人,"['包住', '零食下午茶']"
兼职四小时200,20-25元/时,"['经验不限', '学历不限']",['不接受居家'],经验不限,学历不限,重庆,世纪群英,0-20人,"['绩效奖金', '节日福利', '团建聚餐']"
游戏测试,15-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,合肥,喜柿应用软件工作室,0-20人,[]
游戏试玩,120-150元/天,"['1年以内', '高中']",[],1年以内,高中,西安,西安市临潼区简界...,0-20人,[]
线下三角洲工作室 护航 打手,35-40元/时,"['经验不限', '学历不限']",['三角洲，护航，绿玩'],经验不限,学历不限,沈阳,沈阳市于洪区橙好...,0-20人,[]
三角洲+永劫+无畏契约+燕云十六声游戏兼职,40-80元/时,"['经验不限', '学历不限']",['游戏'],经验不限,学历不限,杭州,十堰市经济技术开...,0-20人,"['包住', '宿舍有空调', '有无线网', '员工旅游', '全勤奖', '绩效奖金', '保底工资']"
游戏代练,1000-1200元/周,"['经验不限', '学历不限']","['手游测试经验', '丰富的游戏经验']",经验不限,学历不限,沈阳,漯河市素晴文化,20-99人,[]
游戏打手（原神鸣潮+日结+不缺单子）,75-150元/时,"['经验不限', '学历不限']","['互联网', '日结', '居家办公']",经验不限,学历不限,郑州,郑州天竞游戏科技,0-20人,[]
抖音小游戏测试专员/兼职/居家/日结,50-150元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,合肥,武汉市柯宇廷科技,0-20人,[]
游戏测试专员,20-30元/时,"['1-3年', '学历不限']","['手游测试经验', '主机游戏测试经验']",1-3年,学历不限,安庆,哲言网络,0-20人,[]
游戏代练,100-280元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,西安,陕西博丽越商贸,0-20人,[]
游戏测试访谈,200-300元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,广州,广东现代国际市场研究,100-499人,[]
小游戏测试合伙人,300-800元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,淄博,淄博远臻网络科技,0-20人,"['有无线网', '员工旅游', '高温补贴']"
游戏测试专员,120-180元/天,"['1年以内', '高中']","['丰富的游戏经验', '手游测试经验']",1年以内,高中,内江,内江蒜苗传媒,0-20人,[]
兼职游戏测试,30-50元/时,"['经验不限', '学历不限']","['手游测试经验', '软件测试经验', '用户拉新', '玩家拉新']",经验不限,学历不限,安阳,云昇科技,0-20人,"['有无线网', '团建聚餐', '底薪加提成', '绩效奖金']"
小游戏测试专员,15-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,济宁,济宁华起网络科技,0-20人,[]
游戏测试,100-300元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,西安,鑫淼亿鑫科技公司,20-99人,"['法定节假日三薪', '包吃', '加班补助', '餐补', '节假日加班费', '员工旅游', '有无线网', '住房补贴']"
游戏测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,武汉,武汉熙和互娱网络科技,0-20人,"['周边福利', '节日福利', '有无线网', '零食下午茶']"
游戏本地化测试（LQA）专员招聘（远程）,100-120元/时,"['经验不限', '学历不限']","['游戏本地化', '丰富的游戏经验', '手游测试经验', '游戏翻译', '游戏测试', '跑测', '主机游戏测试经验', '小语种翻译']",经验不限,学历不限,广州,广州宽涛力康网络科技,20-99人,"['节日福利', '保底工资', '意外险', '带薪年假', '定期体检', '员工旅游', '年终奖', '五险一金', '团建聚餐']"
测试游xi搬砖每天算,260-500元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,广州,广州珧希商贸商行,20-99人,[]
线上测试员,20-40元/时,"['经验不限', '学历不限']","['手游', '丰富的游戏经验']",经验不限,学历不限,南充,重庆隗煦全网络科技,0-20人,"['加班补助', '五险一金', '绩效奖金', '保底工资', '底薪加提成']"
居家客服,100-290元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,来宾,广西华鹰威视科技,0-20人,[]
9月3-6日西湖区天目里射击类手游端游测试,170-180元/天,"['1-3年', '大专']",['丰富的游戏经验'],1-3年,大专,杭州,广盛,0-20人,[]
游戏测试,30-50元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,泉州,万衍文化,500-999人,"['五险一金', '全勤奖', '年终奖']"
兼职游戏测试,35-40元/时,"['3-5年', '大专']","['手游测试经验', '丰富的游戏经验']",3-5年,大专,北京,掌动星空,0-20人,[]
游戏测试,5-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,安阳,盛霄,20-99人,[]
三角洲跑刀仔护航,3000-6000元/月,"['经验不限', '学历不限']",['游戏经验'],经验不限,学历不限,绵阳,绵阳高新区哈哈堂超市,0-20人,[]
游戏搬砖,100-200元/天,"['经验不限', '学历不限']","['主机游戏测试经验', '丰富的游戏经验']",经验不限,学历不限,上海,海口龙华假克斯网...,0-20人,[]
兼职游戏测试,5-20元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,遵义,永康市涛金网络科技,0-20人,[]
游戏测试员,5-35元/时,"['1-3年', '学历不限']",['主机游戏测试经验'],1-3年,学历不限,安阳,安阳堇芊网络科技,20-99人,[]
游戏测试,25-40元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,泉州,南安市美林优蒙厨...,0-20人,[]
游戏测试实习生,150-200元/时,"['经验不限', '本科']",['英语四级'],经验不限,本科,济南,Lionbridge,100-499人,"['餐补', '五险一金', '商业医疗保险', '免费咖啡', '带薪年假', '公费培训', '补充医疗保险', '志愿者假', '加班补助', '生日假', '周末双休', '节日福利', '零食下午茶', '定期体检']"
一天兼职200,180-200元/天,"['经验不限', '学历不限']",['不接受居家办公'],经验不限,学历不限,重庆,合肥云尚梦泽网络科技,100-499人,[]
游戏打手（三角洲行动+爆单+日结）,60-100元/时,"['经验不限', '学历不限']",['居家日结'],经验不限,学历不限,上海,上海智禧欧网络科技,20-99人,"['绩效奖金', '年终奖']"
三角洲游戏兼职,30-50元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,太原,广州瑞伴网络科技,0-20人,[]
游戏测试,10-20元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,安阳,安阳路羽网络科技,0-20人,[]
游戏工作室（全国加盟）联合创始人游戏测试,10000-60000元/月,"['经验不限', '学历不限']",['游戏'],经验不限,学历不限,郑州,郑州视之商商贸,0-20人,[]
游戏测试,25-30元/时,"['经验不限', '学历不限']","['线上测试', '暑假工', '小游戏测试', '居家操作']",经验不限,学历不限,南京,南京佰顺意科技技术,0-20人,[]
网络手游专员,30-50元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,南宁,聚则成,100-499人,"['员工旅游', '住房补贴', '带薪年假', '五险一金', '通讯补贴', '节日福利', '年终奖']"
兼职广告测试日结150,25-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,长沙,长沙贤达创优科技,20-99人,[]
游戏电竞师+寒暑假工+第三方协议,4000-8000元/月,"['经验不限', '中专/中技']","['客服', '游戏', '兼职', '主机游戏测试经验']",经验不限,中专/中技,成都,天蓝互娱,100-499人,"['有无线网', '零食下午茶', '包住', '底薪加提成', '绩效奖金', '全勤奖', '宿舍有空调']"
小游戏测试员,10-20元/时,"['经验不限', '学历不限']","['手游测试经验', '丰富的游戏经验']",经验不限,学历不限,安阳,安阳裕琰网络科技,20-99人,['有无线网']
游戏试玩,25-35元/时,"['1-3年', '学历不限']",[],1-3年,学历不限,重庆,重庆盛盈网络科技,20-99人,"['团建聚餐', '节日福利', '年终奖', '保底工资', '全勤奖', '底薪加提成', '绩效奖金', '生日福利', '五险一金']"
居家客服,100-290元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,来宾,广西华鹰威视科技,0-20人,[]
三角洲代肝,90-120元/时,"['经验不限', '学历不限']",['三角洲代肝'],经验不限,学历不限,无锡,胶州市宥宥网络服...,0-20人,[]
游戏测试专员,35-45元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,钦州,钦州优华商贸有限公司,0-20人,[]
游戏打手（三角洲行动+单量多+急需打手）,60-75元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,上海,上海庾歆网络科技,20-99人,[]
抖音小游戏,5-20元/时,"['经验不限', '学历不限']","['手游测试经验', '丰富的游戏经验', '抖音小游戏']",经验不限,学历不限,辽源,辽源市龙山区互游...,0-20人,[]
学生兼职,30-35元/时,"['经验不限', '初中及以下']","['丰富的游戏经验', '很简单！']",经验不限,初中及以下,枣庄,滕州市祥禾瑞日用...,0-20人,[]
三角洲游戏专员,220-400元/天,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,娄底,义乌市喾鹏电子商务,0-20人,[]
游戏测试,30-60元/时,"['1年以内', '高中']","['居家', '线上', '兼职']",1年以内,高中,广州,广西简创云科技,20-99人,[]
助力兼职,50-100元/时,"['经验不限', '学历不限']","['听力残疾无限制', '配合工作人员完成任务即可', '听力残疾', '肢体残疾', '视力残疾', '轻度/中度视力残疾', '肢体残疾无限制']",经验不限,学历不限,成都,安嘉天捷网络,0-20人,[]
游戏,35-40元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,大同,岚图网络科技,20-99人,[]
游戏试玩,4000-5500元/月,"['经验不限', '学历不限']",['手游测试经验'],经验不限,学历不限,忻州,无限引力,0-20人,[]
测试短期做120-150/天,120-150元/时,"['1-3年', '学历不限']",[],1-3年,学历不限,长春,绿园区昕潼网络工...,0-20人,[]
兼职游戏测试,10-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,宁德,福安市山才人茶业...,20-99人,[]
助力兼职,50-100元/时,"['经验不限', '学历不限']","['听力残疾无限制', '配合工作人员完成任务即可', '听力残疾', '肢体残疾', '视力残疾', '轻度/中度视力残疾', '肢体残疾无限制']",经验不限,学历不限,成都,安嘉天捷网络,0-20人,[]
游戏,35-40元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,大同,岚图网络科技,20-99人,[]
游戏测试,120-200元/天,"['经验不限', '初中及以下']",[],经验不限,初中及以下,濮阳,周口郴杨商贸有限公司,0-20人,"['有无线网', '包吃', '加班补助', '餐补']"
游戏测试专员,10-60元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,安阳,安阳县游趣部落网...,0-20人,[]
游戏测试,20-30元/时,"['1-3年', '高中']",[],1-3年,高中,福州,福建壵鑫科技有限公司,0-20人,"['工龄奖', '底薪加提成', '绩效奖金', '年终奖', '五险一金']"
网游兼职,20-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,太原,鼠鼠网络科技有限公司,0-20人,[]
游戏小程序体验测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,青岛,青岛擎宇,20-99人,[]
游戏测试,30-60元/时,"['1年以内', '高中']","['居家', '线上', '兼职']",1年以内,高中,广州,广西简创云科技,20-99人,[]
游戏测试,5-20元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,菏泽,菏泽远朗信息技术,0-20人,[]
梦幻西游搬砖，各种合作,6000-12000元/月,"['1年以内', '初中及以下']","['丰富的游戏经验', '手游测试经验', '计算机相关专业']",1年以内,初中及以下,郑州,创云网络,20-99人,"['保底工资', '工龄奖', '绩效奖金', '夜班补助', '全勤奖', '底薪加提成', '加班补助']"
小游戏测试专员,30-40元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,泉州,莆田市驰快物流,0-20人,[]
游戏测试员,150-250元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,郑州,平游传媒,20-99人,[]
游戏专员,25-35元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,辽阳,淮滨县甄缪网络游...,0-20人,"['保底工资', '包吃', '绩效奖金', '餐补', '全勤奖', '年终奖']"
游戏兼职,50-150元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,宿迁,徐州东之友商贸,0-20人,[]
游戏测试员,20-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,邯郸,大名县文霆信息科...,0-20人,[]
巴西葡萄牙语游戏本地化项目测试员,70-75元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,北京,琅科,20-99人,"['有无线网', '定期体检', '零食下午茶', '团建聚餐', '保底工资', '五险一金', '生日福利', '带薪年假', '节日福利']"
游戏实习生,200-300元/时,"['经验不限', '本科']",[],经验不限,本科,吉林,长葛市泽友网络科...,500-999人,[]
三角洲打号部门任务一单一结,20-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,西安,屿向盈山,0-20人,[]
大学生兼职,150-300元/天,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,泸州,川盛,0-20人,[]
游戏测试,5-25元/时,"['经验不限', '中专/中技']",[],经验不限,中专/中技,廊坊,湖北楚锐网络科技,0-20人,[]
小游戏测试专员,15-25元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,合肥,合肥江之云信息科技,0-20人,[]
游戏测试,20-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,廊坊,棱镜网络科技,0-20人,"['定期体检', '意外险', '补充医疗保险', '五险一金']"
游戏打手（热门游戏+居家+日结）,40-90元/时,"['经验不限', '学历不限']",['居家日结'],经验不限,学历不限,郑州,郑州市星簇网络游戏,0-20人,[]
游戏行业（联合创始人）同合作分润游戏测试,10000-50000元/月,"['经验不限', '学历不限']","['创业', '游戏', '投资']",经验不限,学历不限,郑州,网思网络,0-20人,[]
游戏测试,20-45元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,广州,广州炎洛科技工作...,0-20人,[]
游戏开发求职导师,250-300元/时,"['5-10年', '硕士']",[],5-10年,硕士,北京,武汉途鸽启航国际...,100-499人,"['五险一金', '有无线网', '绩效奖金', '节日福利', '生日福利', '保底工资', '团建聚餐', '底薪加提成', '带薪年假', '零食下午茶']"
游戏玩家访谈,100-300元/天,"['经验不限', '大专']",[],经验不限,大专,成都,广东现代国际市场研究,0-20人,[]
大学生兼职,150-300元/天,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,泸州,川盛,0-20人,[]
游戏兼职,50-150元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,宿迁,徐州东之友商贸,0-20人,[]
游戏测试员,150-250元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,郑州,平游传媒,20-99人,[]
游戏测试专员，免费合作，居家，自备电脑,300-400元/天,"['经验不限', '学历不限']","['手游测试经验', '主机游戏测试经验', '软件测试经验', '丰富的游戏经验']",经验不限,学历不限,临沂,三株草,0-20人,['年终奖']
游戏测试,5-25元/时,"['经验不限', '中专/中技']",[],经验不限,中专/中技,廊坊,湖北楚锐网络科技,0-20人,[]
游戏数据测试260,200-260元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,烟台,哈尔滨创年网络科技,20-99人,[]
游戏测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,济南,珺灝,0-20人,[]
原神+崩铁+绝区零+鸣潮+王者荣耀游戏兼职,50-350元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,杭州,许昌市魏都区超金...,0-20人,[]
牛角洲专员,30-35元/时,"['经验不限', '学历不限']",['可居家办公'],经验不限,学历不限,郑州,郑州市二七区叁铭...,0-20人,[]
游戏体验官,60-120元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,宜昌,宜昌高新区诚绯网...,0-20人,[]
爱打游戏的速来,50-70元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,郑州,郑州市二七区锐玺...,10000人以上,[]
游戏升级,20-25元/时,"['经验不限', '学历不限']","['手游测试经验', '会打射击游戏']",经验不限,学历不限,运城,朗正法律咨询,0-20人,"['工龄奖', '加班补助', '法定节假日三薪', '全勤奖']"
居家办公日结游戏兼职（每天100+）,100-170元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,深圳,南京荏之琼科技,20-99人,[]
宜春活跃兼职100元,100-120元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,宜春,萍乡市盛鼎电器,0-20人,"['补充医疗保险', '五险一金']"
兼职游戏体验员（三角洲）,5-80元/时,"['经验不限', '学历不限']","['游戏', '兼职', '暑假工', '三角洲', '跑刀']",经验不限,学历不限,许昌,许昌壹玖鼎网络科技,20-99人,"['有无线网', '零食下午茶', '工龄奖', '加班补助', '年终奖', '团建聚餐', '员工旅游', '夜班补助', '绩效奖金', '保底工资', '底薪加提成', '全勤奖']"
游戏测试,10-60元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,儋州,儋州白马井平拓网...,0-20人,[]
抖音小游戏体验官,5-30元/时,"['3-5年', '大专']",[],3-5年,大专,郑州,亨衢网络科技有限公司,20-99人,"['包住', '意外险', '带薪年假', '年终奖', '全勤奖', '补充医疗保险', '五险一金']"
小游戏测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,忻州,忻州市明了文化传媒,0-20人,[]
游戏练级,10-25元/时,"['经验不限', '学历不限']","['游戏', '搬砖', '练级']",经验不限,学历不限,凉山彝族自治州,西昌市兴胜胡豆米...,0-20人,[]
棋牌游戏测试工程师,20-25元/时,"['1-3年', '本科']","['软件测试经验', '棋牌', '麻将', '游戏']",1-3年,本科,长沙,烨欣,0-20人,[]
兼职游戏广告测试(日结),5-20元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,菏泽,菏泽市定陶区网一...,0-20人,[]
app推广专员,100-180元/天,"['经验不限', '学历不限']",['会配合，会玩手机'],经验不限,学历不限,西安,西安经济技术开发...,0-20人,"['有无线网', '宿舍有空调', '包吃']"
游戏测试,100-110元/天,"['经验不限', '学历不限']",[],经验不限,学历不限,菏泽,菏泽零陆信息技术,0-20人,[]
兼职广告测试（日结）,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,凉山彝族自治州,湖南墨指互娱网络科技,100-499人,"['节假日加班费', '免费班车', '绩效奖金', '保底工资', '加班补助']"
游戏测试三角洲日结算有提成,25-120元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,莆田,安阳市龙安区漫禾...,20-99人,[]
游戏测试员三角洲王者米家日结有提成,35-50元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,武汉,安阳市文峰区星义...,20-99人,"['有无线网', '零食下午茶', '补充医疗保险', '员工旅游', '底薪加提成', '保底工资', '定期体检', '团建聚餐']"
游戏打手（不缺单子+日结+急招）,100-150元/时,"['经验不限', '学历不限']","['日结', '不限制', '互联网', '接受居家']",经验不限,学历不限,郑州,河南广纪游戏科技,20-99人,[]
魔兽世界/正式服/团本打手/居家,6000-20000元/月,"['经验不限', '学历不限']","['团本', '游戏代练', '魔兽世界', '游戏打手', '主机游戏测试经验']",经验不限,学历不限,乌鲁木齐,玉霖,0-20人,"['绩效奖金', '年终奖']"
游戏打手（三角洲/王者荣耀/一单一结）,80-180元/天,"['经验不限', '学历不限']",['游戏打手'],经验不限,学历不限,广州,湘乡市东山街道豪...,0-20人,"['包住', '全勤奖', '有无线网', '宿舍有空调']"
游戏本地化文字测试人员,40-120元/时,"['1-3年', '本科']","['手游测试经验', '主机游戏测试经验', '丰富的游戏经验']",1-3年,本科,上海,上海丽思翻译,20-99人,"['年终奖', '定期体检', '五险一金']"
三角洲代肝行动-燕云十六声-游戏测试,55-150元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,承德,郑州度浩网络科技...,0-20人,"['绩效奖金', '夜班补助', '保底工资', '加班补助']"
游戏测试专员,150-180元/天,"['经验不限', '高中']","['日结', '丰富的游戏经验', '游戏测试']",经验不限,高中,重庆,米欧丽,20-99人,['节日福利']
游戏打手（三角洲+不缺单子+日结）,50-120元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,郑州,河南逸丰,20-99人,[]
游戏专员,20-50元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,长沙,株洲市荷塘区修罗...,0-20人,[]
游戏打手（不缺单子+急招+日结）,85-250元/时,"['经验不限', '学历不限']","['日结', '互联网', '游戏']",经验不限,学历不限,新乡,河南广为游戏科技,20-99人,[]
线上居家代练测试专员,35-50元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,郑州,郑州绵设网络科技,20-99人,[]
游戏测试专员,20-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,淮北,徐州启星图网络科技,0-20人,[]
兼职游戏测试,5-25元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,重庆,惠州市得亿鑫科技,0-20人,"['绩效奖金', '节日福利', '底薪加提成', '生日福利', '保底工资', '年终奖']"
游戏测试,10-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,安阳,安阳添泓网络科技,20-99人,[]
游戏测试,20-25元/时,"['经验不限', '学历不限']","['丰富的游戏经验', '手游测试经验']",经验不限,学历不限,郑州,仟游游戏工作室,20-99人,[]
网络游戏体验员,20-30元/时,"['经验不限', '学历不限']",[],经验不限,学历不限,东莞,南宁恒远房地产投资,0-20人,[]
小游戏测试专员,15-30元/时,"['经验不限', '学历不限']","['计算机相关专业', '手游测试经验', '主机游戏测试经验', '软件测试经验', '丰富的游戏经验', '兼职']",经验不限,学历不限,济宁,济宁华起网络科技,0-20人,[]
三角洲跑刀护航绝密（游戏任务兼职）,35-100元/时,"['经验不限', '学历不限']","['丰富的游戏经验', '一单一结', '日结', '三角洲', '游戏']",经验不限,学历不限,邯郸,新乡市唯铭网络,20-99人,"['团建聚餐', '有无线网', '交通补助', '宿舍有空调', '生日福利', '节日福利', '全勤奖']"
游戏专员,20-50元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,重庆,株洲市荷塘区绝神...,0-20人,[]
游戏测试,10-30元/时,"['经验不限', '学历不限']",['兼职'],经验不限,学历不限,济南,山东弘翰供应链,0-20人,[]
游戏专员,20-50元/时,"['经验不限', '学历不限']",['丰富的游戏经验'],经验不限,学历不限,长沙,株洲市荷塘区修罗...,0-20人,[]
网络手游专员,10-50元/时,"['经验不限', '初中及以下']",[],经验不限,初中及以下,北海,南宁恒远房地产投资,0-20人,[]
小游戏测试专员,15-30元/时,"['经验不限', '学历不限']","['计算机相关专业', '手游测试经验', '主机游戏测试经验', '软件测试经验', '丰富的游戏经验', '兼职']",经验不限,学历不限,济宁,济宁华起网络科技,0-20人,[]
游戏工作室（全国孵化落地）行业沉淀 7 年,10000-50000元/月,"['经验不限', '学历不限']",['游戏'],经验不限,学历不限,石家庄,超金网络,20-99人,"['包住', '零食下午茶']"
