职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
图像算法总监,20-30K,"['5-10年', '硕士']","['C/C++', '深度学习', '工业自动化视觉项目']",5-10年,硕士,南京,南京创智出彩,20-99人,"['五险一金', '年终奖', '节日福利', '通讯补贴', '出差补贴', '餐补', '带薪年假']"
机器视觉算法工程师,23-35K,"['3-5年', '硕士']","['机器学习', '传统图像算法', 'ISP/3A算法', '图像生成', '图像处理库（OpenCV等）', '参加算法相关竞赛/获奖', '发表算法相关优秀论文']",3-5年,硕士,北京,某半导体公司,20-99人,[]
工业自动化机器视觉工程师,15-24K·13薪,"['3-5年', '本科']","['c#', 'C/C++', '机器学习', '目标检测', '工业/缺陷检测', '传统图像算法', '图像处理库（OpenCV等）', 'HALCON', 'MATLAB', 'OCR']",3-5年,本科,广州,海顺自动化,100-499人,"['通讯补贴', '带薪年假', '住房补贴', '年终奖', '餐补', '加班补助', '五险', '全勤奖', '员工旅游', '节日福利', '补充医疗保险', '包吃', '交通补助']"
图像算法专家,35-60K·16薪,"['3-5年', '硕士']","['大模型算法', '多模态算法', '图像搜索', '图像生成', '图像处理库（OpenCV等）', '参加算法相关竞赛/获奖']",3-5年,硕士,上海,得物App,1000-9999人,"['生日福利', '年终奖', '餐补', '交通补助', '零食下午茶', '股票期权', '定期体检', '加班补助', '节日福利', '带薪年假', '绩效奖金', '五险一金']"
图像算法实习,300-310元/天,"['5天/周', '6个月', '本科']","['机器学习', '点云算法', '深度学习', '工业/缺陷检测', '目标检测', '图像处理库（OpenCV等）']",,本科,宁波,文谷科技,100-499人,"['周年礼', '节日福利', '五险一金', '零食下午茶', '团建聚餐', '带薪年假', '绩效奖金', '高温补贴']"
图像算法工程师,15-18K·13薪,"['在校/应届', '硕士']","['发表算法相关优秀论文', 'C/C++', '目标检测', '传统图像算法', '图像处理库（OpenCV等）', '融合感知算法', '参加算法相关竞赛/获奖', 'SLAM算法', '目标跟踪', 'MATLAB', '嵌入式开发', '优秀开源项目经历']",在校/应届,硕士,重庆,重庆哆来目科技,20-99人,"['免费工装', '员工旅游', '团建聚餐', '零食下午茶', '节日福利', '绩效奖金', '五险一金', '带薪年假', '定期体检', '保底工资', '年终奖', '股票期权', '底薪加提成']"
3D视觉研发工程师,15-28K,"['3-5年', '本科']","['机器学习', 'VisionPro', '工业/缺陷检测', '图像处理库（OpenCV等）', 'HALCON']",3-5年,本科,广州,广州景泰科技,100-499人,"['节日福利', '年终奖', '餐补', '员工旅游', '带薪年假', '全勤奖', '五险一金']"
中/高级多媒体算法工程师（AF算法）-深/上,50-80K·15薪,"['经验不限', '硕士']","['深度学习', '大模型算法', 'ISP/3A算法', '图像生成', '融合感知算法', '传统图像算法', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'MATLAB', '相机算法']",经验不限,硕士,上海,某大型智能硬件公司,1000-9999人,[]
图像算法工程师,10-15K,"['在校/应届', '硕士']","['C/C++', '深度学习', '目标检测', '融合感知算法', '目标跟踪']",在校/应届,硕士,厦门,明见技术,100-499人,"['带薪年假', '五险一金', '节日福利', '加班补助', '零食下午茶', '补充医疗保险', '员工旅游', '定期体检', '年终奖']"
计算机视觉及多模态算法工程师/AIGC研究员,50-60K,"['经验不限', '硕士']","['深度学习', '大模型算法', '机器学习', '目标检测', '多模态算法', '图像生成', '人像算法', '工业/缺陷检测', 'C/C++', 'Python']",经验不限,硕士,北京,某大型信息安全科技公司,1000-9999人,[]
OCR多模态大模型算法专家（大厂需求紧急）,45-75K·16薪,"['3-5年', '硕士']","['大模型算法', 'OCR', '多模态算法', '分布式训练']",3-5年,硕士,杭州,某大型互联网平台上市公司,10000人以上,"['股票期权', '年终奖', '补充医疗保险', '五险一金', '员工旅游', '节日福利', '零食下午茶', '交通补助', '免费班车', '餐补']"
视觉开发工程师,12-20K,"['3-5年', '本科']","['深度学习', '机器学习', '大模型算法', '目标检测', '工业/缺陷检测', '点云算法', '目标跟踪', '传统图像算法', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'HALCON', 'VisionPro', '工业质检', '机器视觉', '3C行业', '3D视觉', '工业自动化']",3-5年,本科,上海,梅卡曼德机器人,500-999人,"['带薪年假', '保底工资', '通讯补贴', '五险一金', '工龄奖', '定期体检', '员工旅游', '节日福利', '年终奖', '零食下午茶']"
算法工程师,35-60K·14薪,"['5-10年', '本科']","['深度学习', '机器学习', '三维重建', '传统图像算法', '点云算法', 'C/C++', 'Python']",5-10年,本科,杭州,某互联网公司,20-99人,"['带薪年假', '员工旅游', '团建聚餐', '有无线网', '定期体检', '零食下午茶', '年终奖', '生日福利', '法定节假日三薪', '绩效奖金', '园区会员卡', '节日福利', '股票期权', '工龄奖', '五险一金', '交通补助', '加班补助', '餐补']"
实时视频生成算法研究员,200-250元/天,"['5天/周', '3个月', '硕士']","['C/C++', 'Python', '视频生成', 'AR', 'DIT']",,硕士,上海,巨人网络,1000-9999人,[]
图形AI应用算法工程师​,10-12K,"['3-5年', '本科']","['大模型算法', '图像生成', '多模态算法', '传统图像算法']",3-5年,本科,郑州,郑州菜鸟广告设计,20-99人,"['五险一金', '保底工资', '绩效奖金', '带薪年假', '全勤奖', '底薪加提成', '节日福利', '工龄奖', '零食下午茶', '交通补助', '加班补助', '夜班补助']"
深度学习,20-25K,"['经验不限', '硕士']","['深度学习', '三维重建', '目标检测', '工业/缺陷检测', 'C/C++', 'Python', '发表算法相关优秀论文', 'CNN', 'RNN']",经验不限,硕士,苏州,某小型智能硬件公司,20-99人,"['绩效奖金', '年终奖', '五险一金']"
视觉认知推理+大模型微调算法实习生,100-150元/天,"['4天/周', '3个月', '硕士']","['发表算法相关优秀论文', '深度学习', '目标检测', '大模型算法', '图像处理库（OpenCV等）', '融合感知算法', '图像生成', '参加算法相关竞赛/获奖', 'Python']",,硕士,北京,中科院自动化所,1000-9999人,"['带薪年假', '加班补助', '定期体检', '节日福利', '补充医疗保险', '年终奖', '交通补助', '五险一金', '通讯补贴', '餐补', '全勤奖']"
图像算法,3-6K,"['经验不限', '大专']","['点云算法', '目标检测', '融合感知算法']",经验不限,大专,濮阳,方新科技,20-99人,"['绩效奖金', '工龄奖', '节日福利', '员工旅游', '年终奖', '带薪年假', '有无线网', '全勤奖', '生日福利']"
博士后（重庆）,10-15K,"['经验不限', '博士']",['课题研究、开展试验'],经验不限,博士,重庆,知见生命,20-99人,"['通讯补贴', '高温补贴', '工龄奖', '餐补', '加班补助', '交通补助', '年终奖', '全勤奖', '五险一金']"
视频AI算法工程师,30-60K,"['3-5年', '硕士']","['大模型算法', '图像生成', '图像处理库（OpenCV等）']",3-5年,硕士,北京,某大型知名通信上市公司,10000人以上,"['节日福利', '绩效奖金', '定期体检', '补充医疗保险', '宿舍有空调', '五险一金', '带薪年假', '员工旅游', '全勤奖', '年终奖', '交通补助', '包住', '通讯补贴']"
视觉应用工程师,20-40K·13薪,"['3-5年', '本科']","['传统图像算法', '深度学习', 'C/C++', '图像处理库（OpenCV等）', 'Python']",3-5年,本科,北京,平方和,100-499人,"['通讯补贴', '股票期权', '五险一金', '餐补', '员工旅游', '带薪年假', '零食下午茶', '定期体检', '补充医疗保险', '节日福利', '年终奖']"
视觉引导算法负责人（技术+管理）,30-40K,"['3-5年', '硕士']","['C/C++', '图像处理库（OpenCV等）', '深度学习', '目标检测', '单双目视觉引导', '视觉抓取']",3-5年,硕士,上海,上海某中型仪器仪表/工业自动化公司,100-499人,"['带薪年假', '节日福利', '员工旅游', '股票期权', '五险一金', '年终奖', '通讯补贴', '零食下午茶', '餐补']"
AI视觉实习生 AI Visual Intern(太仓),180-210元/天,"['5天/周', '6个月', '本科']","['视觉算法', '目标检测', '分类', '表面缺陷类算法', 'OCR算法', '传统工业视觉', '图像处理', '开源框架']",,本科,苏州,舍弗勒,10000人以上,"['企业年金', '通讯补贴', '法定节假日三薪', '定期体检', '节日福利', '补充医疗保险', '带薪年假', '保底工资', '年终奖', '生日福利', '员工旅游', '加班补助', '团建聚餐', '五险一金', '免费工装', '夜班补助', '意外险', '免费班车', '节假日加班费', '高温补贴']"
三维重建算法工程师,25-35K·16薪,"['3-5年', '硕士']","['深度学习', '机器学习', '三维重建', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'HALCON', 'MATLAB', '发表算法相关优秀论文', '团队管理经验']",3-5年,硕士,武汉,上海某大型通信/网络设备公司,1000-9999人,[]
高级Camera调试工程师7575,20-40K·15薪,"['5-10年', '本科']",['图像调试'],5-10年,本科,深圳,紫光展锐,1000-9999人,"['法定节假日三薪', '加班补助', '节日福利', '餐补', '定期体检', '通讯补贴', '交通补助', '带薪年假', '生日福利', '零食下午茶', '年终奖', '补充医疗保险', '免费班车', '五险一金']"
图像开发工程师,23-30K·15薪,"['在校/应届', '硕士']","['AE', 'ISP/3A算法', 'AWB']",在校/应届,硕士,深圳,同为股份,1000-9999人,"['五险一金', '定期体检', '带薪年假', '生日福利', '股票期权', '免费工装', '员工旅游', '节日福利', '住房补贴', '年终奖', '零食下午茶', '加班补助']"
高级图像算法工程师,25-45K·14薪,"['5-10年', '硕士']","['深度学习', '目标检测', '工业/缺陷检测', '图像处理库（OpenCV等）', 'HALCON', 'Python']",5-10年,硕士,无锡,鑫业诚,100-499人,"['年终奖', '加班补助', '工龄奖', '餐补', '带薪年假', '零食下午茶', '节日福利', '五险一金', '团建聚餐', '员工旅游', '生日福利']"
图像处理专家,20-40K·14薪,"['经验不限', '博士']","['发表算法相关优秀论文', 'C/C++', '深度学习', '目标检测', '融合感知算法', '目标跟踪', 'Python']",经验不限,博士,北京,某大型学术公司,100-499人,[]
视觉系统工程师,12-20K·13薪,"['3-5年', '本科']",['光学'],3-5年,本科,常州,快克股份,500-999人,"['高温补贴', '定期体检', '五险一金', '股票期权', '加班补助', '团建聚餐', '全勤奖', '生日福利', '包吃', '年终奖', '免费工装', '餐补']"
人工智能高级工程师,35-45K,"['5-10年', '硕士']","['深度学习', '目标检测', 'C/C++', 'Python', 'Java', '数据集构建', '模型训练', '目标识别', '边缘计算', '影像对比']",5-10年,硕士,广州,某知名建筑设计公司,1000-9999人,[]
视觉算法工程师,15-25K,"['3-5年', '本科']","['发表算法相关优秀论文', 'C/C++', '深度学习', '目标检测', '图像处理库（OpenCV等）', '参加算法相关竞赛/获奖', '目标跟踪', 'OCR', 'Python']",3-5年,本科,长沙,瓦特曼智能,100-499人,"['零食下午茶', '带薪年假', '意外险', '奖励假', '孝心津贴', '五险一金', '团建聚餐', '带薪年假', '股票期权', '免费工装', '节日福利', '定期体检', '年终奖', '优秀员工奖金', '绩效奖金', '生日福利', '补充医疗保险']"
图像算法工程师（半导体）,20-35K·13薪,"['3-5年', '本科']","['深度学习', '工业/缺陷检测', '图像处理库（OpenCV等）', 'C/C++', '半导体', 'AOI']",3-5年,本科,苏州,某大型已上市自动化设备公司,1000-9999人,"['加班补助', '包吃', '免费班车', '交通补助', '补充医疗保险', '通讯补贴', '员工旅游', '定期体检', '五险一金', '带薪年假', '餐补', '节日福利', '股票期权', '全勤奖', '年终奖', '包住']"
视觉工程师,9-12K,"['3-5年', '本科']","['机器学习', '深度学习', '目标检测', '工业/缺陷检测', 'HALCON', 'VisionPro', 'C/C++', '图像处理库（OpenCV等）']",3-5年,本科,上饶,玖匠科技,100-499人,"['节假日加班费', '年终奖', '加班补助', '法定节假日三薪', '补充医疗保险']"
技术研发工程师(AI人工智能方向),20-35K·15薪,"['经验不限', '硕士']","['机器学习', '目标检测', 'Python', 'C/C++']",经验不限,硕士,北京,某知名机械设备公司,1000-9999人,[]
isp图像调试工程师,35-40K,"['3-5年', '本科']","['图像调试', 'IPC']",3-5年,本科,深圳,某大型智能硬件公司,100-499人,"['生日福利', '节日福利', '团建聚餐', '五险一金', '员工旅游', '年终奖', '股票期权', '零食下午茶', '绩效奖金', '定期体检', '补充医疗保险', '带薪年假']"
AI算法工程师,40-60K·15薪,"['5-10年', '硕士']","['深度学习', '机器学习', '大模型算法', '多模态算法', '图像生成', 'C/C++', '图像算法', '剪切波', '血流算法', '波束合成', '造影']",5-10年,硕士,深圳,深圳某大型医疗器械公司,1000-9999人,[]
cv算法工程师（图像算法工程师）,20-30K·13薪,"['1-3年', '硕士']","['Python', '图像处理库（OpenCV等）', '深度学习', '多模态算法']",1-3年,硕士,杭州,道弗科技,100-499人,"['五险一金', '生日福利', '高温补贴', '员工旅游', '节日福利', '带薪年假', '交通补助', '年终奖', '绩效奖金']"
图像算法,20-22K,"['1-3年', '本科']",[],1-3年,本科,北京,汉勃科技,100-499人,"['股票期权', '通讯补贴', '节日福利', '团建聚餐', '年终奖', '交通补助', '法定节假日三薪', '绩效奖金', '带薪年假', '五险一金']"
视觉算法主任工程师,20-35K·15薪,"['5-10年', '本科']","['多模态算法', '融合感知算法', '优秀开源项目经历']",5-10年,本科,重庆,某大型上市公司汽车研发/制造公司,1000-9999人,"['零食下午茶', '节日福利', '补充医疗保险', '免费工装', '团建聚餐', '五险一金', '包住', '有无线网', '餐补', '年终奖', '带薪年假', '宿舍有空调', '免费班车', '股票期权', '通讯补贴', '生日福利', '包吃']"
机器视觉工程师,20-35K·14薪,"['3-5年', '本科']","['C/C++', '深度学习', '工业/缺陷检测', 'HALCON']",3-5年,本科,苏州,苏州小孔成像光电...,20-99人,"['节日福利', '全勤奖', '年终奖', '五险一金', '带薪年假', '通讯补贴', '交通补助']"
AI部长,50-80K·15薪,"['5-10年', '硕士']","['深度学习', '多模态算法', 'C/C++', 'Python', '图像处理库（OpenCV等）', '团队管理经验']",5-10年,硕士,深圳,某大型国际化智能服务机器人公司,1000-9999人,"['交通补助', '五险一金', '带薪年假', '节日福利', '年终奖', '餐补', '补充医疗保险']"
3D生成算法工程师（具身机器人）,45-75K·15薪,"['1-3年', '硕士']","['深度学习', '大模型算法', '机器学习', '图像生成', '多模态算法', '三维重建', 'C/C++', 'Python', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '优秀开源项目经历', '3D计算机视觉', '生成模型', '3D AIGC项目', '场景/数字人生成']",1-3年,硕士,深圳,某大型人工智能公司,100-499人,"['法定节假日三薪', '年终奖', '五险一金', '零食下午茶', '节假日加班费', '股票期权', '团建聚餐', '绩效奖金', '加班补助', '住房补贴']"
算法工程师,15-25K,"['在校/应届', '硕士']","['机器学习', '点云算法', 'SLAM算法', '三维重建', '图像处理库（OpenCV等）', 'mesh']",在校/应届,硕士,武汉,Farsee2,100-499人,"['包吃', '零食下午茶', '五险一金', '年终奖', '节日福利', '带薪年假', '股票期权', '绩效奖金', '有无线网', '团建聚餐']"
【华感科技】图像算法专家,21-40K·14薪,"['5-10年', '硕士']","['团队管理经验', '深度学习', '图像生成', 'Python']",5-10年,硕士,杭州,浙江大华,10000人以上,"['带薪年假', '节日福利', '免费班车', '五险一金', '补充医疗保险', '定期体检', '餐补', '员工旅游', '住房免息贷款', '包吃', '交通补助', '加班补助', '通讯补贴', '年终奖']"
机器视觉工程师,12-20K,"['5-10年', '本科']","['C#', '机器学习', '工业/缺陷检测', 'HALCON']",5-10年,本科,宁波,宁波图锐,100-499人,"['通讯补贴', '导师制', '节日福利', '五险一金', '交通补助', '年终奖', '加班补助', '员工旅游', '餐补', '住房补贴', '全勤奖', '股票期权', '定期体检', '带薪年假', '贷款制']"
图像算法工程师,20-35K,"['经验不限', '学历不限']","['C/C++', '图像处理库（OpenCV等）', '目标跟踪']",经验不限,学历不限,长沙,某大型仪器仪表公司,100-499人,[]
算法团队负责人,50-75K,"['5-10年', '硕士']","['大模型算法', '图像生成', '图像处理库（OpenCV等）', 'Aigc', '文生图 图生视频']",5-10年,硕士,长沙,某大型已上市互联网视频平台公司,1000-9999人,"['交通补助', '包吃', '餐补', '五险一金', '年终奖', '定期体检', '带薪年假', '零食下午茶', '节日福利', '绩效工资']"
视觉工程师,14-24K,"['3-5年', '本科']","['大模型算法', '目标检测', '目标跟踪', 'Python', 'C/C++']",3-5年,本科,无锡,唯睿芯路,20-99人,"['交通补助', '高温补贴', '年终奖', '定期体检', '通讯补贴', '节日福利', '带薪年假', '餐补', '生日福利', '五险一金']"
影音技术leader,50-80K,"['5-10年', '本科']","['C/C++', 'ISP/3A算法', '其他', '摄像头', '音频']",5-10年,本科,杭州,某大型智能硬件公司,1000-9999人,"['五险一金', '年终奖', '补充医疗保险', '员工旅游', '节日福利', '定期体检', '企业滴滴打车', '包吃', '零食下午茶', '带薪年假']"
资深图像/视觉识别算法（外企居家+电商）,60-90K·16薪,"['5-10年', '本科']","['机器学习', '图像生成', 'Python', 'C/C++', 'Java', '图片美化', '商品图片', '图像处理算法']",5-10年,本科,北京,某电子商务公司,20-99人,[]
AIGC视觉工程师Comfy UI方向,10-15K,"['1-3年', '本科']","['图像处理库（OpenCV等）', '大模型算法', '图像生成', '图像搜索', '生成式AI经验', '制图']",1-3年,本科,郑州,甲由电商,100-499人,"['团建聚餐', '五险一金', '保底工资', '加班补助', '底薪加提成', '节日福利', '绩效奖金', '带薪年假', '生日福利', '零食下午茶', '员工旅游']"
技术支持工程师（机器视觉）,6-10K,"['1-3年', '大专']","['视觉调试', '机器视觉', '工业/缺陷检测', '图像识别', '视觉软件', 'OCR']",1-3年,大专,东莞,康耐德智能2020,20-99人,"['补充医疗保险', '定期体检', '团建聚餐', '员工旅游', '全勤奖', '通讯补贴', '加班补助', '五险一金', '节日福利', '零食下午茶', '企业年金', '带薪年假', '年终奖']"
ADC工程师（全国招聘-长期出差）,18-30K,"['3-5年', '本科']","['ADC', '深度学习', '传统图像算法', '人像算法']",3-5年,本科,上海,哥瑞利,100-499人,"['员工旅游', '通讯补贴', '五险一金', '年终奖', '加班补助', '餐补', '节日福利']"
视觉算法专家（感知识别）-北京,120-150K·20薪,"['5-10年', '硕士']","['深度学习', '大模型算法', '目标检测', '目标跟踪', 'C/C++', 'Python']",5-10年,硕士,北京,某知名互联网上市公司,1000-9999人,"['节日福利', '餐补', '补充医疗保险', '五险一金', '免费班车', '年终奖', '股票期权', '交通补助', '定期体检', '员工旅游', '带薪年假']"
中/高级多媒体算法工程师（ISP/CP）深上,50-80K·16薪,"['5-10年', '本科']","['传统图像算法', '嵌入式开发', '发表算法相关优秀论文', 'ISP', '相机', '多媒体', '芯片设计', '影像技术']",5-10年,本科,深圳,某大型智能硬件公司,10000人以上,"['五险一金', '住房补贴', '定期体检', '餐补', '带薪年假', '生日福利', '补充医疗保险', '节日福利']"
标定算法工程师,30-60K·16薪,"['1-3年', '硕士']","['C/C++', 'Python', '发表算法相关优秀论文', '标定算法', 'AVM']",1-3年,硕士,深圳,高阶智能驾驶解决供应商,1000-9999人,"['包吃', '五险一金', '带薪年假', '节日福利', '定期体检', '年终奖']"
图像识别算法工程师,12-20K,"['3-5年', '硕士']","['大模型算法', '图像生成', 'Java', '优秀开源项目经历', '机器人']",3-5年,硕士,济南,作为科技,100-499人,"['带薪年假', '员工旅游', '团建聚餐', '节假日加班费', '定期体检', '加班补助', '五险一金', '包吃']"
图像算法高级工程师,60-90K,"['3-5年', '硕士']","['大模型算法', '多模态算法', 'C/C++', 'Python', '图像处理库（OpenCV等）']",3-5年,硕士,上海,某大型电子商务公司,100-499人,"['节日福利', '定期体检', '年终奖', '住房补贴', '员工旅游', '团建聚餐', '五险一金', '零食下午茶', '带薪年假', '生日福利']"
中/高级多媒体算法工程师（拼接）,35-40K·14薪,"['3-5年', '硕士']","['传统图像算法', 'ISP/3A算法', '人像算法', 'C/C++', 'Python']",3-5年,硕士,深圳,某大型已上市通信/网络设备公司,10000人以上,"['节日福利', '定期体检', '带薪年假', '五险一金', '补充医疗保险', '交通补助', '零食下午茶', '通讯补贴', '免费班车', '餐补', '员工旅游', '住房补贴', '年终奖']"
高级视觉算法工程师,15-18K,"['3-5年', '本科']","['工业/缺陷检测', '深度学习', '视觉定位经验', '三维重建']",3-5年,本科,东莞,鹏凯科技,20-99人,"['五险一金', '年终奖', '员工旅游', '包吃']"
ML Research Engineer,30-45K,"['经验不限', '本科']","['发表算法相关优秀论文', '留学生优先', '机器学习', '多模态算法', '图像生成', '参加算法相关竞赛/获奖', '优秀开源项目经历']",经验不限,本科,北京,时代传浮,20-99人,"['节日福利', '无着装要求', '弹性上班时间', '团建聚餐', '五险一金', '愉快的氛围']"
视觉算法（人脸识别方向）,25-35K·13薪,"['5-10年', '本科']","['C/C++', '人脸检测', '深度学习', '视频结构化', '参加算法相关竞赛/获奖', '目标跟踪', '人脸识别', '追踪', 'Python']",5-10年,本科,北京,某小型大数据隐私保护公司,20-99人,"['团建聚餐', '定期体检', '带薪年假', '零食下午茶', '年终奖', '意外险', '补充医疗保险', '五险一金']"
图像质量工程师（调试方向）,13-20K·14薪,"['1-3年', '本科']","['C/C++', '图像调试']",1-3年,本科,成都,元视芯,100-499人,"['五险一金', '补充医疗保险', '团建聚餐', '生日福利', '有无线网', '股票期权', '零食下午茶', '员工旅游', '节日福利', '定期体检', '年终奖', '带薪年假', '通讯补贴', '免费工装']"
人工智能神经元重构师,3-6K,"['经验不限', '大专']","['图像处理', '虹膜识别', '图形识别', '图像检测', '文字识别', '人脸识别', '图像分析']",经验不限,大专,达州,数智科技,20-99人,"['开放式办公', '全勤奖', '加班补助', '五险一金', '节日福利', '绩效奖金', '带薪年假', '年终奖', '有无线网', '零食下午茶']"
3D视觉工程师,20-30K,"['3-5年', '本科']","['深度学习', '机器学习', '目标检测', '图像生成', 'C/C++', 'Python']",3-5年,本科,北京,某大型机械设备公司,1000-9999人,[]
图像算法工程师,150-300元/天,"['4天/周', '3个月', '硕士']","['C++', 'Python', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch']",,硕士,北京,北京车网,100-499人,"['年终奖', '生日福利', '包吃', '高温补贴', '五险一金', '定期体检', '补充医疗保险', '节日福利', '带薪年假']"
视觉算法总监,60-65K,"['5-10年', '硕士']","['大模型算法', '图像生成', '人像算法', '视觉算法']",5-10年,硕士,福州,某大型计算机软件公司,100-499人,"['带薪年假', '全勤奖', '意外险', '补充医疗保险', '五险一金']"
图像算法,8-13K·13薪,"['1-3年', '本科']","['visionmaster', '团队管理经验', 'visonpro', '其他', '优秀开源项目经历']",1-3年,本科,南通,南通科瑞恩智能装备,500-999人,"['年终奖', '免费班车', '节假日加班费', '生日福利', '五险一金', '带薪年假', '法定节假日三薪', '包吃', '夜班补助', '加班补助', '节日福利', '高温补贴']"
图像算法（传统）,30-50K,"['3-5年', '硕士']","['机器学习', '传统图像算法', 'C/C++', 'Python']",3-5年,硕士,南京,江苏某中型医疗器械公司,100-499人,"['法定节假日三薪', '团建聚餐', '年终奖', '带薪年假', '意外险', '五险一金', '定期培训', '定期团建', '节假日加班费', '节日福利', '工龄奖', '通讯补贴', '股票期权', '员工旅游', '餐补', '加班补助', '免费班车', '读书会', '零食下午茶', '定期体检']"
图像算法工程师-应届生,15-25K,"['在校/应届', '硕士']","['C/C++', '图像处理库（OpenCV等）']",在校/应届,硕士,上海,术锐,100-499人,"['五险一金', '节假日加班费', '带薪年假', '年终奖', '加班补助', '生日福利', '节日福利', '定期体检', '股票期权']"
图像识别算法工程师,15-25K,"['1-3年', '本科']","['图像搜索', '发表算法相关优秀论文', '机器学习', '深度学习', '目标检测', '图像处理库（OpenCV等）', '图像生成', '参加算法相关竞赛/获奖', '目标跟踪', 'OCR', 'Python', '模型加速/性能优化']",1-3年,本科,深圳,爱莫科技,100-499人,"['年终奖', '项目奖金', '加班调休', '带薪年假', '定期培训', '零食下午茶', '节日福利', '五险一金', '股票期权', '团建聚餐', '加班餐', '员工旅游', '企业文化衫', '定期体检', '交通补助']"
视觉软件工程师,6-10K,"['1-3年', '大专']","['机器学习', '其他', '传统图像算法', 'HALCON', 'VisionPro']",1-3年,大专,常州,泽成智能,0-20人,[]
AI设计师（宁波工作）,12-20K,"['1-3年', '本科']","['大模型算法', '多模态算法', '图像生成', '图像搜索', '图像处理库（OpenCV等）']",1-3年,本科,杭州,凯越集团,1000-9999人,"['定期体检', '定期提拔加薪', '零食下午茶', '交通补助', '五险一金', '培训提升', '餐补', '年终奖', '带薪年假', '节日福利', '员工旅游', '住房补贴', '通讯补贴']"
高级ISP工程师,20-40K,"['5-10年', '本科']","['C/C++', '海思', '图像调优', 'Camera tuning', '图像调试']",5-10年,本科,深圳,森云智能,100-499人,"['年终奖', '节日福利', '带薪年假', '工龄奖', '零食下午茶', '五险一金']"
360环视图像AVM算法工程师（车规芯片）,25-45K·14薪,"['5-10年', '本科']","['深度学习', '大模型算法', '机器学习', '图像搜索', '融合感知算法', '三维重建', 'C/C++', 'Python', '图像处理库（OpenCV等）', '车规芯片', '车载 360 环视项目', 'AVM算法']",5-10年,本科,合肥,某大型芯片公司,100-499人,"['餐补', '年终奖', '五险一金', '加班补助', '股票期权', '零食下午茶', '补充医疗保险', '节日福利', '员工旅游', '定期体检', '带薪年假']"
PI课题组实习生,120-200元/天,"['5天/周', '4个月', '本科']","['深度学习', '多模态算法', '医学图像分析算法', '融合感知算法', '模仿学习', '目标跟踪', '机器人控制算法', 'MATLAB', '嵌入式开发', '优秀开源项目经历', '发表算法相关优秀论文', 'C/C++', '机器学习', '强化学习', '参加算法相关竞赛/获奖', 'SLAM算法', '三维重建', 'Python']",,本科,东莞,大湾区大学(筹),100-499人,[]
Quantitative Researcher(A214008),30-50K,"['经验不限', '博士']","['发表算法相关优秀论文', '图像搜索', '机器学习', '不限', '参加算法相关竞赛/获奖', 'Python']",经验不限,博士,北京,Web3.x,100-499人,"['住房补贴', '股票期权', '定期体检', '零食下午茶', '包吃', '团建聚餐', '绩效奖金', '年终奖', '五险一金', '节日福利', '生日福利', '带薪年假']"
高级图像算法工程师,30-45K·16薪,"['5-10年', '本科']","['C/C++', 'Python', '图像处理库（OpenCV等）', '深度学习', '工业/缺陷检测', '传统图像算法', '优秀开源项目经历']",5-10年,本科,杭州,某知名仪器仪表上市公司,1000-9999人,"['包住', '意外险', '加班补助', '节日福利', '餐补', '高温补贴', '包吃', '免费班车', '团建聚餐', '宿舍有空调', '定期体检', '带薪年假', '有无线网', '五险一金', '生日福利', '股票期权', '年终奖', '法定节假日三薪', '住房补贴', '交通补助']"
图像算法实习生,150-200元/天,"['5天/周', '6个月', '本科']",['C/C++'],,本科,宜宾,四川宜云智能网联...,20-99人,"['节日福利', '定期体检', '有无线网', '生日福利', '带薪年假', '五险一金', '工龄奖', '团建聚餐', '年终奖', '零食下午茶']"
工业检测算法,30-35K,"['经验不限', '博士']","['C/C++', '图像处理库（OpenCV等）', '深度学习', '目标检测', '工业/缺陷检测']",经验不限,博士,北京,某大型企业服务公司,100-499人,"['带薪年假', '餐补', '五险一金', '意外险', '年终奖', '补充医疗保险', '节日福利', '定期体检', '领导nice', '员工旅游', '团建聚餐']"
医学图像算法工程师,18-30K,"['3-5年', '硕士']","['深度学习', '机器学习', '大模型算法', '点云算法', '三维重建', '传统图像算法', '融合感知算法', 'C/C++', 'Python', 'VisionPro', '优秀开源项目经历', '发表算法相关优秀论文']",3-5年,硕士,南京,筑卫医学,20-99人,"['团建聚餐', '意外险', '定期体检', '带薪年假', '节日福利', '生日福利', '股票期权', '五险一金']"
AI大模型算法lead 国家级研发中心 要求博士,80-110K·15薪,"['经验不限', '博士']","['大模型算法', '三维重建', '目标检测', '多模态算法', 'Python', 'C/C++', '发表算法相关优秀论文', '团队管理经验']",经验不限,博士,北京,某大型已上市计算机软件公司,1000-9999人,"['节日福利', '定期体检', '股票期权', '通讯补贴', '五险一金', '包吃', '餐补', '零食下午茶', '交通补助', '加班补助', '带薪年假', '年终奖', '住房补贴', '补充医疗保险']"
