职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
网络工程师,300-320元/天,"['经验不限', '学历不限']","['不需要出差', '网络架构设计', '有网络工程师经验', '1到3年网络工程师经验', '大型网络实施']",经验不限,学历不限,北京,仟玖科技,0-20人,[]
高级网络工程师,8-12K,"['3-5年', '本科']","['计算机相关专业', '熟悉Linux等操作系统', '网络架构设计', '大型网络实施', '大型网络运维', 'CCIE/HCIE等', 'CCNP/HCIP等', 'CCNA/HCIA等', '甲方企业', '不需要出差', '有网络工程师经验', '3到5年网络工程师经验', '1年以内网络工程师经验', 'WAF', 'SSL', '架构设计优化']",3-5年,本科,北京,北京大通利华科技,20-99人,"['法定节假日三薪', '节日福利', '零食下午茶', '五险一金', '带薪年假', '员工旅游', '生日福利', '加班补助', '节假日加班费']"
网络运维专家,30-40K·15薪,"['5-10年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '数据中心运维', '大型网络运维', 'CCNP/HCIP等', 'CCIE/HCIE等', '网络运维', '路由协议']",5-10年,本科,北京,某大型计算机服务公司,1000-9999人,[]
公司网络管理员,7-9K,"['1-3年', '大专']","['有网络工程师经验', '甲方企业', '不需要出差', '1到3年网络工程师经验', '计算机相关专业', '网络架构设计', '大型网络实施', '大型网络运维', '数据中心运维']",1-3年,大专,北京,雷士照明北京,100-499人,"['生日福利', '意外险', '五险一金', '节日福利', '加班补助', '员工旅游', '带薪年假']"
中级网络工程师,10-15K,"['3-5年', '本科']","['CCNP/HCIP等', '不需要出差', '有网络工程师经验', '数据中心运维', 'CCNA/HCIA等', '金融网络运维', '3到5年网络工程师经验', '大型网络运维']",3-5年,本科,北京,北京亦新诚,0-20人,[]
IPV6工程师,13-15K,"['3-5年', '本科']","['有网络工程师经验', '运营商', '不需要出差', '3到5年网络工程师经验', '通信相关专业', '计算机相关专业']",3-5年,本科,北京,智联汇达,20-99人,[]
网络工程师,5-7K,"['5-10年', '学历不限']","['故障处理', 'Java', '路由器配置', '网络自动化', 'IDC建立', 'Windows', 'IDC维护', '交换机配置']",5-10年,学历不限,北京,优士创新,100-499人,"['五险一金', '全勤奖', '年终奖', '带薪年假', '员工旅游', '商业保险', '员工聚会', '节日福利']"
弱电工程师,8-12K,"['1-3年', '大专']","['弱电系统', '智能化', '系统集成']",1-3年,大专,北京,北京鑫力科技有限公司,0-20人,[]
网络工程师,130-200元/天,"['5天/周', '3个月', '本科']","['不需要出差', '接受无网络工程师经验']",,本科,北京,北京德元方惠科技开发,0-20人,"['有无线网', '绩效奖金', '五险一金', '餐补']"
科来设备网络运维工程师-驻场,7-12K·13薪,"['1-3年', '本科']","['H3CSE证书', 'Linux', '路由交换', '网络流量分析', 'CCIE证书', '科来', 'HCIE证书', '网络规划设计']",1-3年,本科,北京,三易能,0-20人,"['五险一金', '带薪年假']"
网络工程师,8-12K,"['经验不限', '本科']","['CCNA/CCNP', 'HCNA/HCNP', 'HCIE', '网络建设/系统集成经验', '网络运维经验', '通信/工程相关专业']",经验不限,本科,北京,中联云控,20-99人,"['补充医疗保险', '五险一金', '餐补', '产假', '带薪年假', '年终奖', '交通补助', '全勤奖', '通讯补贴', '节日福利', '加班补助', '员工旅游']"
网络工程师,12-20K,"['5-10年', '本科']","['有网络工程师经验', 'Java', 'C/C++', 'Python', '甲方企业', '不需要出差', '5年以上网络工程师经验', '通信相关专业', '计算机相关专业', 'CCNA/HCIA等', '半导体行业', '带人经验']",5-10年,本科,北京,新毅东,500-999人,"['餐补', '节日福利', '团建聚餐', '生日福利', '带薪年假', '绩效奖金', '五险一金', '年终奖']"
高级网络工程师,16-22K·14薪,"['5-10年', '本科']","['CCNP/HCIP等', '通信相关专业', '数据中心运维', '有网络工程师经验', '大型网络实施', '其他', '计算机相关专业', '3到5年网络工程师经验', '甲方企业', 'CCIE/HCIE等', '5年以上网络工程师经验', '不需要出差', '大型网络运维', 'Python']",5-10年,本科,北京,中盾网防,100-499人,"['定期体检', '年终奖', '节日福利', '五险一金', '带薪年假', '包吃']"
数据中心网络运维工程师（国企项目/统本）,12-18K,"['3-5年', '本科']","['CCIE/HCIE等', '不需要出差', '5年以上网络工程师经验', '防火墙', '路由', '有网络工程师经验', '华为', '运营商', '大型网络运维']",3-5年,本科,北京,国安,100-499人,"['带薪年假', '意外险', '生日福利', '五险一金']"
网络工程师,6-8K,"['1-3年', '大专']","['通信相关专业', '有网络工程师经验', '数据中心运维', 'CCNA/HCIA等', 'IDC建立', 'Windows', '3到5年网络工程师经验', 'IDC维护', '交换机配置', 'CCIE/HCIE等', '不需要出差', '路由器配置', 'Linux', '负载均衡', '网络自动化', '系统集成商']",1-3年,大专,北京,有孚网络,100-499人,"['加班补助', '零食下午茶', '节日福利', '五险一金', '餐补']"
网络工程师,70-100K,"['在校/应届', '博士']","['网络建设/系统集成经验', '网络运维经验', '网络安全相关经验']",在校/应届,博士,北京,华为云计算,10000人以上,"['节日福利', '交通补助', '免费班车', '法定节假日三薪', '夜班补助', '五险一金', '带薪年假', '年终奖', '绩效奖金', '零食下午茶', '生日福利', '节假日加班费', '加班补助', '定期体检', '住房补贴', '团建聚餐', '员工旅游', '意外险', '保底工资', '补充医疗保险']"
售后技术支持工程师,8-11K·13薪,"['1-3年', '本科']","['CCNP/HCIP等', '不需要出差', '通信相关专业', '有网络工程师经验', '1到3年网络工程师经验', '计算机相关专业']",1-3年,本科,北京,天融信,1000-9999人,"['五险一金', '股票期权', '餐补', '带薪年假', '春节11天假', '交通补助', '年终奖', '节日福利', '意外险', '通讯补贴', '定期体检']"
高级网络工程师,18-22K,"['1-3年', '本科']","['CCIE/HCIE等', '不需要出差', '通信相关专业', 'PMP证书', '有网络工程师经验', '计算机相关专业', '3到5年网络工程师经验', '运营商']",1-3年,本科,北京,中科普联,0-20人,[]
网络运维工程师,10-13K,"['3-5年', '本科']","['不需要出差', '网络架构设计', 'PMP证书', '有网络工程师经验', '大型网络实施', '3到5年网络工程师经验', '甲方企业', '大型网络运维', 'SQL']",3-5年,本科,北京,国开在线,100-499人,"['年终奖', '高温补贴', '餐补', '保底工资', '定期体检', '带薪年假', '员工旅游', '绩效奖金', '意外险', '节日福利', '补充医疗保险', '生日福利', '团建聚餐', '加班补助', '五险一金', '企业年金']"
